ddt.unwedding.txt: 离婚
ddt.pets.foodAmountTipText: 粮食数量：
tank.consortiaBattle.teamName2: 黄队:{0}
enchant.help.title:  附魔说明
recover: 恢复
flowerGiving.rankView.myPlaceTxt: 第{0}名
lantern2015.happyFestival: 元宵节快乐!
happyRecharge.mainFrame.bigcell.tipTitle12: 至尊大奖
tank.adventure.nickName0: 啵咕王城
enchant.succes.txt: 恭喜您附魔成功!
reducePower: 减怒
ddt.loader.loadEveryDayActRwardFail: 每日活动显示模板信息失败
tank.adventure.deleteBoxTxt: 确定要删除该宝箱？
tank.consortiaBattle.occupyTips: 占领敌方领地可降低敌方血量增加己方血量,
当阵营血量达到80%时获得助阵BUFF攻击敏捷提升30%.
ddt.loader.actInfoFail: 活跃度模板信息失败
tank.adventure.nickName1: 邪神部落
tank.peakBattle.changePetInfo:  修改参战宠物
flowerGiving.rankView.outOfRank: 未上榜
MaxHp: 血量
flowerGiving.rankView.myFlowerTitle: 我的鲜花数量：
tank.invite.InviteView.fastInvite: 快捷邀请
floatParade.title: 花车达人
nationDay.titleTxt: 国庆活动
nationDay.Description: 活动期间，参加竞技(不包括挑战)、联赛、地穴、试炼之地、秘境，获胜或通关后有机会随机获得一个字，集齐一组可获得对应的礼包
magicAttack: 魔攻
ddt.loader.everyDayRewardFail: 每日奖励物品模板信息失败
tank.adventure.nickName2: 蒸汽工厂
ddt.loader.starUpdataInfoFail: 星级升级模板信息失败
ddt.pets.upgradeNeedFoodAmount: 宠物还需要喂食<FONT COLOR='#FF0000'>{0}</FONT>个宠物粮才可以升级。
tank.consortiaBattle.teamName3: 蓝队:{0}
flowerGiving.rankView.baseRequest: 基础奖领取要求：{0}
magicDefend: 魔抗
flowerGiving.rankView.superRequest: 超级奖领取要求：{0}
lantern2015.selfSendInfo: 今天已经拜访了{0}位好友，还可收到{1}份赠礼
happyRecharge.mainFrame.bigcell.tipContext12: 可以获得奖池中<font color='#ff0000'>全部</font>的物品！！！！！！！！！！！！！！！
explorerManual.magicAttackAdd: 魔攻 +
halloween.view.Description:          活动期间参加竞技战，有机会变身成为小女巫，也有机会遇到小女巫的南瓜，亲手抓住它将会获得小女巫的谢礼。
halloween.view.exchangeFail: 材料不足，兑换失败！
energy: 体力 
ddt.loader.firstRechargeInfoFail: 首冲模板信息失败
tank.adventure.rankRemain: 第{0}名以后
tank.adventure.hasNoCount: 您已经没有探索次数！
ddt.loader.accumulativeLoginInfoFail: 累计登录信息失败
carnival.descTxt16: 宠物进化到{0}级
flowerGiving.flowerSendFrame.title: 赠送鲜花
floatParade.leftBottomTxt: (勋章，点券兑换可获得元旦积分，元旦积分用于积分商城)
flowerGiving.flowerSendFrame.sendTxt: 赠送
tank.adventure.hasNoBuyCount: 购买探索次数超出最大上限！
ddt.loader.dragonBoatExpInfoFail: 端午节龙舟信息失败
tank.adventure.canNotReset: 重置BOSS需要由会长操作
danWangDaSai.huache.title: 弹王大赛花车
ddtKing.playerNameTxt0: [{0}]的花车
hour: 小时
flowerGiving.flowerSendFrame.sendNumTxt: * {0}
happyRecharge.exchangeView.dirTxt: 需要
ddt.pets.hungerNeedFoodAmount: 宠物还需要喂食<FONT COLOR='#FF0000'>{0}</FONT>个宠物粮快乐度才会满。
tank.roomlist.WeddingRoomCreateView.msg1: 请选择礼堂风格
ddtKing.playerNameTxt1: [{0}]的花车
hour2: 时
ddt.loader.dragonBoatAwardsInfoFail: 端午节奖励信息失败
lantern2015.selfRedPkgInfo: 没有未接收的祝福
ddt.loader.newFusionDataInfoFail: 熔炼数据表失败
tank.adventure.resetFail: 重置失败！
flowerGiving.flowerSendFrame.cenGetTxt: 可获得
minute: 分钟
flowerGiving.flowerSendFrame.otherNumTxt: 其他数量
tank.adventure.resetSuccess: 重置BOSS成功！
ddt.loader.groupPurchaseDataInfoFail: 团购奖励数据表失败
FPSView.as.InviteAlertPanel.yaoqingni:  邀请您加入他的游戏房间
ddtKing.playerNameTxt2: [{0}]的花车
ddtKing.playerNameTxt3: 巴罗夫花车																																																				
minute2: 分
flowerGiving.flowerSendFrame.nameInputTxt: 请输入要赠送的玩家名称！
tank.adventure.resetBtn: 重置BOSS
ddt.loader.MsnConfirm4399: 短信验证信息失败
floatParade.normalFerilizeTxt: 兑换
happyRecharge.exchangeView.numTxt: {0}/{1}个
ddtKing.match.description: 1、周年花车活动期间，花车行驶至目
   的地即可以获得丰富奖励，以及弹
   王雕像碎片。
2、弹王雕像碎片可用于增加弹王雕像
   建设进度。
3、本次活动期间参与花车活动到达终点
   可以获得双倍收益。
4、超越巴罗夫的花车可以获得弹王
   礼包一份。
5、玩家每天可以参与3次活动。
ddt.pets.hungerFull: 宠物已达最大等级，可突破提高等级上限！
flowerGiving.flowerSendFrame.getGiftPackContent: 可获得：
tank.adventure.notInTxt: 没有加入工会或者人物等级小于40级不能进行探索！
ddt.loader.lanternRiddlesInfoFail: 趣味答题问题信息失败
lantern2015.noWish: 暂时还未获得好友祝福
happyRecharge.mainFrame.activityData: 活动时间：{0}
ddtKing.affirmSpend: 确认花费{0}建造?
ddt.putFireworks.channels: 本区|公会
flowerGiving.flowerSendFrame.getGiftPackName1: 初级赠送礼包
tank.invite.InviteView.fastInvite1: 免费邀请{0}次
tank.adventure.notOpen: 未开启区域
ddt.loader.PetsAdvancedDataFail: 宠物升星升阶数据加载失败
newOldPlayerBack.enjoyWelfare.levelFull: 该礼包需等级达到{0}后方可领取！
beadProp: 属性
ddtking.open: 弹王大赛花车活动已开启
floatParade.race.awardInfo1: {0} {1} 个
flowerGiving.flowerSendFrame.getGiftPackName2: 中级赠送礼包
ddt.loader.PetsCellUnlockFail: 宠物仓库数据获取失败
newOldPlayerBack.enjoyWelfare.areaView.yes: 享用转区福利的新区为：{0}
cancel: 取 消
ddtking.normalPrayTxt: 普通兑换
change: 更 改
flowerGiving.flowerSendFrame.getGiftPackName3: 高级赠送礼包
happyRecharge.mainFrame.record10: 【{0}】获得惊喜大奖，“{1}”{2}个
tenThousand: 万
ddt.loader.SXStoreDataFail: 消除大师商店数据加载失败
floatParade.normalPrayTxt: 勋章兑换
notAlertAgain: 本次登录不再提示
ddtking.highFerilizeTxt: 点券建造
close: 关 闭
flowerGiving.flowerSendFrame.getGiftPackName4: 特级赠送礼包
newOldPlayerBack.enjoyWelfare.areaView.no: 未使用转区
ddt.loader.SXScoreRewardDataFail: 消除大师积分奖励数据加载失败
ddt.pets.releasPetsDiscrp: 四星宠物在放生时可获得宠物之源。
ddt.vip.vipView.yearDiscountText: 一次性开通三个月以上的VIP可成为紫金VIP,充值年费VIP享受8.8折优惠
ddtking.normalFerilizeTxt.title: 普通兑换
DecExpBottle.gourdHelpTipView.useTips: 使用{0}后，将<font color="#ff0000">扣除{1}经验</font>，不产生降级，是否确认使用？
flowerGiving.flowerSendFrame.sendToOther: 卿心似吾心，不负相思意。
moneytree.noneFriendSelected: 请先选择要送红包的好友
ddt.loader.SXScorePropPriceDataFail: 消除大师道具价格数据加载失败
tank.churchroom.WeddingRoomBugle.msg1: 我正在礼堂举办婚礼，点击加入参与仪式，还有机会抢红包和捧花哦
ddt.vip.vip12notice: 上线本区提醒
ddtking.normalFerilizeTxt: 使用低级碎片数量：
worldboss.helper.fighting: 第{0}次战斗：战斗中......
flowerGiving.flowerSendRecordFrame.title: 赠送日志
tank.adventure.resetTxt: 本周重置次数：{0}/{1}
ddt.loader.AngelInvestmentDataFail: 天使投资数据加载失败
DecExpBottle.gourdHelpTipView.AlluseTips: 使用{0}后，将<font color="#ff0000">扣除当前等级全部经验</font>，不产生降级，是否确认使用？
ddt.vip.vip14notice: 上线跨区提醒
ddtKing.frame.countDownViewTxt: 剩余比赛时间：
floatParade.highFerilizeTxt: 点券兑换
flowerGiving.flowerSendRewardView.desc: 累积收到{0}朵鲜花
happyRecharge.mainFrame.record11: 【{0}】获得幸运大奖，“{1}”{2}个
ddt.loader.horseSkillElementDataFail: 坐骑技能元素表信息失败
worshipTheMoon.remainCountTxt: (还剩{0}次)
chat.BugleInputFrameTitleString: 个性喇叭
ddtking.normalFerilizeTips: 注：1个低级碎片=10点排行积分，1个高级碎片=10活动积分。
ddt.pets.attactDetail: 可以提高主人的攻击属性。
flowerGiving.flowerSendRecordFrame.contentTxt: {0}赠送了{1}朵鲜花给<FONT SIZE='12' FACE='宋体' COLOR='#FFd633'>{2}</FONT>。
ddt.loader.collectionRobertDataFail: 采集场景机器人信息加载失败
moneyTree.title: 发财树
chat.BugleInputFrame.ok.text: 确定发送
ddtking.highFerilizeTips: 注：每次点券建造消耗100点券，获得10活动积分。
worshipTheMoon.remainTime: {0}天{1}时{2}分
IMView.integralShop.TitleText: 老玩家召回积分商城
worshipTheMoon.activeTime: 活动时间：{0}年{1}月{2}日-{3}年{4}月{5}日
ddt.loader.getPoultryFail: 农场boss信息加载失败
tank.churchroom.WeddingRoomBugle.msg2: 剩余字数：{0}
chat.BugleInputNull: 输入框内容不能为空，请输入文字
ddtking.highUseFerilizer: 使用高级碎片数量：
carnival.descTxt21: 消耗{0}活力
integralShopView.info.Text: 1.被召回老玩家登记为召唤人后，老玩家日活跃度超过{0}，登记人
可获得积分，超过1活跃可获得1积分，每日积分上限{1}点，登记
有效期为5天；
2.好友列表中带        标签的玩家为老玩家，可以通过线下方式
进行召回。
tank.roomlist.WeddingRoomCreateView.msg2: 请选择婚礼套餐
ddt.loader.rescueRewardFail: 救援行动奖励加载失败
worshipTheMoon.buyCountTxt: 确定消耗{0}点券购买{1}{2}？
chat.differZone.cannotChat: 非本区玩家不可私聊
ddtking.useFerilizer: 弹王雕像初级碎片：
floatParade.highPrayTxt: 虔诚兑换
integralShopView.callText: “召唤”
happyRecharge.mainFrame.record12: 【{0}】获得至尊大奖，“{1}”{2}个
ddt.loader.saveNoviceDataFail: 报错节点数据失败
worshipTheMoon.notEnough: 祭月次数不足！
chat.BugleInputFrameRemainString: 剩余字数:
laurel.title: 种月桂树
ddt.pets.defenseDetail: 可以提高主人的防御属性。
integralShopView.limitText: 今日还可获得积分：{0}/{1}
ddt.loader.defendislandDataFail: 保卫弹岛数据加载失败
moneytree.helpTitle: 发财树帮助
game.PlayerThumbnailTipItemText_0: 查看资料
laurel.leftBottomTxt: (祝福，高级祝福可获得中秋积分，中秋积分用于积分兑换)
ddt.labyrinth.CleanOutFrame.leftTitle: 扫荡小提示：
integralShopView.limitIntegralText: 获得积分上限：{0}
ddt.labyrinth.CleanOutItem.ValueTextII: 第{0}层扫荡中...
repute: 排名
tank.churchroom.WeddingRoomBugle.msg3: 还可免费发送<FONT COLOR='#ff0000'>{0}</FONT>次
game.PlayerThumbnailTipItemText_1: 加为好友
laurel.normalFerilizeTxt: 祝福
auctionHouse.explainTxt.text: 交易后物品为绑定状态，交易所得货币为点券+绑点，详情请看→
integralShopView.todayBuyText: 消耗积分：

今日还可购买：
ddt.labyrinth.CleanOutFrame.leftTip: 1.可以通过消耗点券来立即完成扫
荡。

2.扫荡每关扣除50勋章，并在
开始扫荡时一次性全部扣除。

3.扫荡时不可进入战斗以及战斗房
间。

4.在扫荡的过程中可点击“取消”来
暂停扫荡操作。
laurel.normalPrayTxt: 普通祈福
civil.cityWide.text1:  HI! 
 &nbsp;我是你的
floatParade.useFerilizer: 使用银花勋章数量：
vipIntegralShopView.titleText: VIP积分商场
civil.cityWide.text2: 同城有缘人
ddt.labyrinth.CleanOutFrame.freeAccTips: 可以免费加速
tank.room.canNotResetPro: 未设置属性，不能进行重置属性操作！
laurel.highFerilizeTxt: 高级祝福
ddt.pets.agilityDetail: 可以提高主人的敏捷属性。
vipIntegralShopView.info.Text: 1.VIP用户每日可领取大量积分，积分可购买VIP积分商
城的商品。
2.VIP等级越高，每日领取的积分越多，积分      。
civil.cityWide.text3: 交个朋友吧！
moneytree.redpkgNotEnough: 红包不足
tank.churchroom.WeddingRoomBugle.msg4: 喇叭内容不能为空！
laurel.highPrayTxt: 虔诚祈福
ddt.putFireworks.types: 招财烟花|灿烂烟花|幸运烟花|贵族烟花|至尊烟花|回归烟花|口令烟花
vipIntegralShopView.callText: 每周一清零
tank.labyrinth.levelLoader.fail: 加载勇士秘境关卡信息失败
civil.leftview.equipName: 查看装备
tank.labyrinth.pNameList: 攻击：+,防御：+,敏捷：+,幸运：+,魔攻：+,魔抗：+,伤害：+,护甲：+,回复：+
laurel.useFerilizer: 使用月华之土数量：
tank.labyrinth.sweep.coin: ,秘境金币x{0}
vipIntegralShopView.todayBuyText: 消耗VIP积分：

今日还可购买：
civil.leftview.effortName: 查看成就
laurel.useHighFerilizer: 使用月华之精数量：
floatParade.useHighFerilizer: 使用金花勋章数量：
vipIntegralShopView.getReward.tipsText1: 今日可领取{0}积分，下一级领取{1}积分
civil.leftview.talkName: 私 聊
tank.labyrinth.sweepTips: 第{0}层扫荡
laurel.useHighDDTKingFloat: 弹王雕像高级碎片：
ddt.pets.luckDetail: 可以提高主人的幸运属性。
vipIntegralShopView.getReward.tipsText2: 今日可领取{0}积分
civil.leftview.addName: 加为好友
moneytree.cost.perspeedup: 确认消耗<FONT COLOR='#FF0000'> {0} </FONT>点券加速果实成熟?
tank.churchroom.WeddingRoomBugle.msg5: 是否花费{0}点券发送婚礼喇叭？
laurel.normalFerilizeTips: 注：1个月华之土=10点排行积分，1个月华之精=10兑换积分。
tank.labyrinth.sweep.finishLevel: 已扫荡 <font color='#fff4d4'>{0}</font> 层
vipIntegralShopView.getReward.tipsText3: 恭喜你领取{0}积分
tank.labyrinth.sweep.complete: 今天已经完成挑战了，不能继续挑战或者扫荡
civil.leftview.courtshipName: 求 婚
laurel.highFerilizeTips: 注：每次高级祝福消耗100点券/绑定点券，获得10兑换积分。
tank.labyrinth.sweep.totalLevel: 扫荡到 <font color='#fff4d4'>{0}</font> 层
vipIntegralShopView.buyShopItem.limitInfo: VIP{0}可购买
civil.leftview.playerName: 名称:
tank.peakBattle.canNotAddPro: 剩余点数不足，无法操作 
laurel.highPrayTips: 注：每次虔诚祈福消耗100点券/绑定点券，获得10兑换积分。
floatParade.normalFerilizeTips: 注：1个银花勋章=10点排行积分，1个金花勋章=10元旦积分。
vipIntegralShopView.buyShopItem.buyOver: 今日已购完
civil.leftview.guildName: 公会:
tank.labyrinth.sweep.finishSweepTips: 确认消耗{0}点券立即完成扫荡?
laurel.gradeLimit: 等级达到{0}级才能进入。
ddt.gemstone.alertFrame.descript: 请输入要注入的战魂丹数量：
ddt.integral.buyConfirmTipTxt: 确认消耗{0}积分，购买{1}？
ddt.pets.hp: 血量
petBag.view.titleText: 宠物系统
consumeRank.outOfRank: 我的排名：未上榜  
tank.churchroom.WeddingRoomBugle.msg6: 喇叭内容不能有特殊字符
laurel.open: 种月桂树活动已开启。
tank.labyrinth.rank.challengeLevel: 挑战层数
home.build.title.farm: 农场
ddt.pets.hpDetail: 可以提高主人血量上限。
tank.labyrinth.shopTips: 秘境圣石不足，请到商城购买
petBag.sortTips: 整理后同样的装备将保留一件
<FONT COLOR='#FF0000'>（不区分该装备是否绑定）</FONT>
并叠加相同装备的有效期。
chat.BugleInputFrameBg.text: 请输入内容:
carnival.descTxt22: {0}张卡牌洗出
全max属性
home.build.title.house: 住宅
ddt.pets.rePetNameAlertContonet: 本次操作消耗 ：    点券
kingStatue.title: 弹王雕像
tank.labyrinth.rank.finishLevel: 完成层数
floatParade.highFerilizeTips: 注：每次点券兑换消耗100点券/绑定点券，获得10元旦积分。
home.build.title.temple: 神庙
ddt.pets.petSkill: 宠物技能
kingStatue.open: 弹王雕像活动已开启!
tank.labyrinth.rank.gameOver: 您今天的挑战次数已耗尽！
ddt.kingBlessFrame.awardNameTxt1: 时光使者：无限
tank.churchroom.WeddingRoomThrowFlowerSetView.msg1: 只有新娘才可以进行此操作！
consumeRank.outOfRankLabel: 已消费{0}点券，再消费{1}点券可上榜
home.build.content.farm: 经营你的个人农场，
制造食物喂养宠物。
ddt.pets.fightSkill: 战斗技能
kingStatue.leftBottomTxt: (建造弹王雕像可以获得周年庆积分，周年庆积分用于兑换)
tank.labyrinth.rank.enterGameTips: 恭喜您勇士秘境已经达到100层，新的关卡正在制作中
tank.game.labyrinth.returnTips: 暂未选择助阵BUFF，返回主界面时，系统将随机选择一个助阵BUFF
home.build.content.house: 你的私人住宅，点击可
以进入
ddt.pets.releaseDirectTxt: 放生
kingStatue.rightBottomTxt: (奖励发放以活动结束最终排名为准，且积分>=90000)
chat.ChatFriendList.FriendBtnTxt: 好友
tank.kingcar.tipTxt1: 特殊效果：
tank.game.labyrinth.continueTips: 暂未选择助阵BUFF，继续战斗时，系统将随机选择一个助阵BUFF
home.build.content.temple: 你的私人神庙，点击可
以进入
ddt.pets.releaseTransformTxt: 转化
kingStatue.ownedMoney: 你目前拥有点券
floatParade.highPrayTips: 注：每次虔诚兑换消耗100点券/绑定点券，获得10元旦积分。
home.cannotEnter: 无法进入家园
ddt.pets.convertCannotTxt: 高星级宠物无法转化
kingStatue.highBuild: 高级建造               次
tank.game.labyrinth.enterNextGameTips:  <font color='#ff0000'>战斗胜利</font>继续挑战下一关
tank.churchroom.WeddingRoomThrowFlowerSetView.msg2: 抛捧花已经开始
consumeRank.myRank: 我的排名：
wonderful.rookieRank.title1: 名次
ddt.pets.convertCannotTxt2: 四星以上宠物才可进行转化
kingStatue.highDecorate: 高级装饰               次
tank.peakBattle.canNotDeletePro: 无法进行此操作
tank.churchroom.WeddingRoomThrowFlowerSetView.msg3: 抛捧花已经结束
ddt.putFireworks.putFireworksChatMsg: 为了感谢[{0}]燃放的{1}创造了如此绚烂的夜晚，弹弹堂为大家送上几个红包。|点击领取。
wonderful.rookieRank.title2: 昵称
ddt.pets.atlasTitle: 宠物图册
kingStatue.highBuildTips: 注：每次高级建造消耗100点券/绑定点券，获得10兑换积分。
chat.ChatFriendList.ConsortiaBtnTxt: 公会
tank.churchroom.WeddingRoomThrowFlowerSetView.msg4: 举行婚礼后才可以抛捧花
